Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0031,03/12/2022,03/13/2022,AMZN Mktp US*1Z1C46PT0,Merchandise & Inventory,Sale,-25.86,
0031,03/11/2022,03/13/2022,SAFEWAY #1444,Food & Drink,Sale,-63.95,
0031,03/11/2022,03/13/2022,AMZN Mktp US*1Z8FF7Q91,Merchandise & Inventory,Sale,-18.16,
0031,03/10/2022,03/13/2022,DOMINO'S 7027,Food & Drink,Sale,-8.80,
0031,03/12/2022,03/13/2022,AMZN Mktp US*1W77Q9YT2,Merchandise & Inventory,Sale,-8.80,
0031,03/10/2022,03/11/2022,AMZN Mktp US*1Z2GU9MD1,Merchandise & Inventory,Sale,-18.71,
0031,03/10/2022,03/11/2022,AMZN Mktp US*1W47X7662,Merchandise & Inventory,Sale,-4.39,
0031,03/10/2022,03/11/2022,AMZN Mktp US*1Z79443K0,Merchandise & Inventory,Sale,-4.39,
0031,03/09/2022,03/10/2022,SQ *TOFU 101,Food & Drink,Sale,-17.20,
0031,03/05/2022,03/07/2022,McDonalds 10651,Food & Drink,Sale,-8.13,
0031,03/06/2022,03/07/2022,QFC 5822,Food & Drink,Sale,-18.01,
0031,03/06/2022,03/07/2022,SQ *GIRL SCOUTS TROOP 464,Food & Drink,Sale,-10.00,
0031,03/05/2022,03/07/2022,ASIAN FAMILY MARKET BE,Food & Drink,Sale,-73.03,
0031,03/04/2022,03/06/2022,SAFEWAY #1444,Food & Drink,Sale,-49.22,
0031,03/04/2022,03/06/2022,RITE AID 05179,Health & Wellness,Sale,-26.14,
0031,03/04/2022,03/06/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-52.29,
0031,03/01/2022,03/02/2022,TRAVELERS-GEICO AGENCY,Bills & Utilities,Sale,-701.57,
0031,02/28/2022,03/01/2022,McDonalds 10651,Food & Drink,Sale,-11.44,
0031,02/27/2022,02/28/2022,MICHAELS STORES 8403,Merchandise & Inventory,Sale,-5.38,
0031,02/27/2022,02/28/2022,BURGER KING #4273,Food & Drink,Sale,-7.71,
0031,02/26/2022,02/28/2022,ASIAN FAMILY MARKET BE,Food & Drink,Sale,-9.84,
0031,02/26/2022,02/28/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-45.65,
0031,02/26/2022,02/28/2022,TARGET        00003392,Merchandise & Inventory,Sale,-16.59,
0031,02/25/2022,02/27/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-95.35,
0031,02/25/2022,02/27/2022,SAFEWAY #1444,Food & Drink,Sale,-46.87,
0031,02/25/2022,02/27/2022,BURGER KING #4273,Food & Drink,Sale,-1.64,
0031,02/26/2022,02/27/2022,McDonalds 10651,Food & Drink,Sale,-1.10,
0031,02/26/2022,02/27/2022,UWAJIMAYA BELLEVUE,Food & Drink,Sale,-25.09,
0031,02/24/2022,02/25/2022,EMPIRE TAX REDUCTIONS,Professional Services,Sale,-116.15,
0031,02/23/2022,02/23/2022,ASIAN FAMILY MARKET BE,Food & Drink,Sale,-136.44,
0031,02/20/2022,02/21/2022,McDonalds 10651,Food & Drink,Sale,-1.10,
0031,02/19/2022,02/20/2022,MUD BAY SAMMAMISH,Merchandise & Inventory,Sale,-47.33,
0031,02/19/2022,02/20/2022,WAL-MART #5939,Food & Drink,Sale,-37.30,
0031,02/18/2022,02/20/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-50.25,
0031,02/19/2022,02/20/2022,McDonalds 10651,Food & Drink,Sale,-8.14,
0031,02/18/2022,02/20/2022,MACKY DIM SUM RESTAURANT,Food & Drink,Sale,-21.50,
0031,02/18/2022,02/20/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-28.40,
0031,02/18/2022,02/20/2022,J AND J CHINESE RESTAURAN,Food & Drink,Sale,-14.81,
0031,02/19/2022,02/20/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-42.85,
0031,02/19/2022,02/20/2022,WAL-MART #5939,Food & Drink,Sale,-37.64,
0031,02/18/2022,02/20/2022,SAFEWAY #1444,Food & Drink,Sale,-46.81,
0031,02/16/2022,02/17/2022,PAYPAL *SAMSUNGELEC,Bills & Utilities,Sale,-220.19,
0031,02/16/2022,02/16/2022,PAYPAL *SAMSUNGELEC,Bills & Utilities,Sale,-1479.04,
